arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered,end_state_cell,activation_step,end_state_found_step,end_state_visits,end_state_banked,post_activation_window,discovery_time,hazards_transitioned,hazards_banked_as_knowledge,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,hazard_thresholds,competency_unlock_steps,knowledge_banked_steps,knowledge_entries_per_cell,pre_transition_entries_per_cell,snapshot_count
v1_0,1.0,320000,0,496635339,331,192000,0,0,0,0,1,0,1.0,757,"(3, 3)",0.0,True,True,0,,,,0,0.0,33282,5,6,420,60235,"(4, 15)","(4, 15)|(11, 5)|(16, 3)|(15, 16)|(9, 10)|(3, 3)",3765,127,0,"(7, 15)",60235,60635,1219,True,259765,400,5,5,420,6628,"(14, 13)|(5, 9)|(14, 14)|(6, 8)|(5, 8)","(14, 13)|(14, 14)|(5, 8)|(6, 8)|(5, 9)","(5, 8):5|(5, 9):2|(6, 8):4|(14, 13):1|(14, 14):3","(5, 8):6628|(5, 9):3049|(6, 8):5730|(14, 13):420|(14, 14):3240","(5, 8):17866|(5, 9):17871|(6, 8):17867|(14, 13):1578|(14, 14):5109","(5, 8):1117|(5, 9):734|(6, 8):815|(14, 13):1342|(14, 14):1090","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):1",0
v1_0,1.0,320000,1,16689821,331,192000,0,0,0,0,8,0,8.0,755,"(3, 3)",0.0,True,False,3,10183,10203,11422,2,2.0,19457,1066,6,366,139055,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(11, 5)|(16, 3)|(3, 3)",5200,77,0,"(6, 9)",139055,140584,846,True,180945,1529,5,5,366,51498,"(5, 8)|(14, 14)|(5, 9)|(14, 13)|(6, 8)","(14, 14)|(5, 8)|(14, 13)|(5, 9)|(6, 8)","(5, 8):1|(5, 9):3|(6, 8):5|(14, 13):4|(14, 14):2","(5, 8):366|(5, 9):11438|(6, 8):51498|(14, 13):19141|(14, 14):2220","(5, 8):10152|(5, 9):28591|(6, 8):52469|(14, 13):19672|(14, 14):9681","(5, 8):1132|(5, 9):1323|(6, 8):1322|(14, 13):1097|(14, 14):1188","(5, 8):0|(5, 9):3|(6, 8):3|(14, 13):2|(14, 14):0",0
v1_0,1.0,320000,2,1783566838,331,192000,0,0,0,0,5,0,5.0,737,"(3, 3)",0.0,True,False,1,2680,,2680,0,0.0,30321,3861,6,380,118546,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(11, 5)|(16, 3)",5563,272,0,"(3, 10)",118546,119046,381,True,201454,500,5,5,380,11385,"(6, 8)|(5, 8)|(5, 9)|(14, 13)|(14, 14)","(6, 8)|(5, 8)|(5, 9)|(14, 13)|(14, 14)","(5, 8):2|(5, 9):3|(6, 8):1|(14, 13):4|(14, 14):5","(5, 8):484|(5, 9):1712|(6, 8):380|(14, 13):10881|(14, 14):11385","(5, 8):9254|(5, 9):9259|(6, 8):9253|(14, 13):11630|(14, 14):11631","(5, 8):980|(5, 9):893|(6, 8):1223|(14, 13):1770|(14, 14):1463","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):3|(14, 14):2",0
v1_0,1.0,320000,3,1303621320,331,192000,0,0,0,0,5,0,5.0,753,"(3, 3)",0.0,True,False,2,8921,23354,23354,1,1.0,38465,1693,6,1588,64682,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(9, 10)|(3, 3)|(16, 3)",7807,321,0,"(9, 2)",64682,68652,2777,True,255318,3970,5,5,1588,39835,"(5, 9)|(5, 8)|(14, 13)|(6, 8)|(14, 14)","(5, 8)|(5, 9)|(14, 13)|(6, 8)|(14, 14)","(5, 8):2|(5, 9):1|(6, 8):4|(14, 13):3|(14, 14):5","(5, 8):8624|(5, 9):1588|(6, 8):24628|(14, 13):23645|(14, 14):39835","(5, 8):24266|(5, 9):24267|(6, 8):42567|(14, 13):24594|(14, 14):54371","(5, 8):1186|(5, 9):574|(6, 8):1064|(14, 13):2948|(14, 14):3485","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):2|(14, 14):3",0
v1_0,1.0,320000,4,923014689,331,192000,0,0,0,0,3,0,3.0,776,"(3, 3)",0.0,True,False,1,1055,,1055,0,0.0,24753,10653,6,482,30936,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(15, 16)|(11, 5)|(16, 3)",5613,172,0,"(13, 11)",30936,31463,1100,True,289064,527,5,5,482,13161,"(5, 8)|(6, 8)|(5, 9)|(14, 14)|(14, 13)","(5, 8)|(6, 8)|(5, 9)|(14, 14)|(14, 13)","(5, 8):1|(5, 9):3|(6, 8):2|(14, 13):5|(14, 14):4","(5, 8):482|(5, 9):4580|(6, 8):949|(14, 13):13161|(14, 14):9764","(5, 8):994|(5, 9):4631|(6, 8):997|(14, 13):13802|(14, 14):13801","(5, 8):1158|(5, 9):707|(6, 8):1304|(14, 13):1301|(14, 14):1583","(5, 8):0|(5, 9):3|(6, 8):0|(14, 13):0|(14, 14):0",0
v1_0,1.0,320000,5,542408058,331,192000,0,0,0,0,3,0,3.0,769,"(3, 3)",0.0,True,False,1,2793,,2793,0,0.0,27761,9374,6,372,23580,"(9, 10)","(9, 10)|(11, 5)|(3, 3)|(16, 3)|(15, 16)|(4, 15)",7455,778,0,"(4, 16)",23580,23581,158,True,296420,1,5,5,372,15186,"(5, 8)|(5, 9)|(14, 13)|(14, 14)|(6, 8)","(5, 8)|(5, 9)|(14, 13)|(14, 14)|(6, 8)","(5, 8):1|(5, 9):2|(6, 8):5|(14, 13):3|(14, 14):4","(5, 8):372|(5, 9):1135|(6, 8):15186|(14, 13):1549|(14, 14):11252","(5, 8):1290|(5, 9):1291|(6, 8):17235|(14, 13):15176|(14, 14):15177","(5, 8):1750|(5, 9):1603|(6, 8):1017|(14, 13):1236|(14, 14):545","(5, 8):0|(5, 9):0|(6, 8):3|(14, 13):0|(14, 14):0",0
v1_0,1.0,320000,6,62462540,331,192000,0,0,0,0,6,0,6.0,730,"(3, 3)",0.0,True,False,1,1778,,1778,0,0.0,22574,314,6,342,24408,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(15, 16)|(16, 3)",6083,60,0,"(18, 2)",24408,24481,624,True,295592,73,5,5,342,5568,"(14, 14)|(5, 9)|(6, 8)|(5, 8)|(14, 13)","(5, 9)|(5, 8)|(6, 8)|(14, 14)|(14, 13)","(5, 8):4|(5, 9):2|(6, 8):3|(14, 13):5|(14, 14):1","(5, 8):4831|(5, 9):1308|(6, 8):4775|(14, 13):5568|(14, 14):342","(5, 8):4998|(5, 9):1509|(6, 8):4999|(14, 13):6134|(14, 14):5539","(5, 8):1316|(5, 9):1057|(6, 8):1118|(14, 13):1840|(14, 14):1469","(5, 8):3|(5, 9):0|(6, 8):1|(14, 13):2|(14, 14):0",0
v1_0,1.0,320000,7,1829339557,331,192000,0,0,0,0,3,0,3.0,773,"(3, 3)",0.0,True,False,0,,,,0,0.0,32748,190,6,504,19348,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(16, 3)|(9, 10)|(15, 16)",6263,173,0,"(5, 16)",19348,28956,1821,True,300652,9608,5,5,504,13124,"(5, 9)|(6, 8)|(14, 13)|(14, 14)|(5, 8)","(5, 9)|(6, 8)|(5, 8)|(14, 13)|(14, 14)","(5, 8):5|(5, 9):1|(6, 8):2|(14, 13):3|(14, 14):4","(5, 8):13124|(5, 9):504|(6, 8):797|(14, 13):1079|(14, 14):1338","(5, 8):13416|(5, 9):737|(6, 8):859|(14, 13):19342|(14, 14):19343","(5, 8):773|(5, 9):427|(6, 8):1070|(14, 13):2708|(14, 14):579","(5, 8):0|(5, 9):1|(6, 8):2|(14, 13):0|(14, 14):0",0
v1_0,1.0,320000,8,1349394039,331,192000,0,0,0,0,3,0,3.0,792,"(3, 3)",0.0,True,False,1,1045,,1045,0,0.0,37248,15385,6,376,4370,"(4, 15)","(4, 15)|(3, 3)|(16, 3)|(11, 5)|(9, 10)|(15, 16)",8774,3149,0,"(16, 11)",9189,10742,188,True,310811,1553,5,5,376,1984,"(14, 13)|(5, 8)|(5, 9)|(14, 14)|(6, 8)","(14, 13)|(14, 14)|(6, 8)|(5, 8)|(5, 9)","(5, 8):2|(5, 9):3|(6, 8):5|(14, 13):1|(14, 14):4","(5, 8):1097|(5, 9):1270|(6, 8):1984|(14, 13):376|(14, 14):1369","(5, 8):9184|(5, 9):9189|(6, 8):9183|(14, 13):4168|(14, 14):4169","(5, 8):937|(5, 9):1976|(6, 8):1069|(14, 13):1379|(14, 14):1352","(5, 8):0|(5, 9):0|(6, 8):3|(14, 13):0|(14, 14):0",0
v1_0,1.0,320000,9,968787408,331,192000,0,0,0,0,1,0,1.0,761,"(3, 3)",0.0,True,True,0,,,,0,0.0,37741,6651,6,348,10261,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(15, 16)|(3, 3)",5789,1019,0,"(18, 1)",10261,77518,629,True,309739,67257,5,5,348,4904,"(6, 8)|(5, 9)|(14, 14)|(14, 13)|(5, 8)","(5, 9)|(6, 8)|(14, 14)|(14, 13)|(5, 8)","(5, 8):5|(5, 9):2|(6, 8):1|(14, 13):4|(14, 14):3","(5, 8):4904|(5, 9):968|(6, 8):348|(14, 13):1667|(14, 14):1608","(5, 8):8248|(5, 9):1029|(6, 8):1051|(14, 13):4778|(14, 14):4777","(5, 8):320|(5, 9):389|(6, 8):1078|(14, 13):1135|(14, 14):1103","(5, 8):1|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0",0
v1_0,5.0,320000,0,853186608,331,192000,0,0,0,0,1,0,5.0,784,"(3, 3)",0.0,True,True,0,,,,0,0.0,25596,7391,6,368,53715,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)|(3, 3)",6223,147,0,"(5, 12)",53835,53886,1278,True,266165,51,5,5,368,7996,"(14, 14)|(6, 8)|(5, 8)|(14, 13)|(5, 9)","(6, 8)|(14, 13)|(14, 14)|(5, 8)|(5, 9)","(5, 8):3|(5, 9):5|(6, 8):2|(14, 13):4|(14, 14):1","(5, 8):2807|(5, 9):7996|(6, 8):900|(14, 13):3254|(14, 14):368","(5, 8):53832|(5, 9):53835|(6, 8):2179|(14, 13):4412|(14, 14):4413","(5, 8):1830|(5, 9):1322|(6, 8):1234|(14, 13):1054|(14, 14):964","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):1|(14, 14):0",0
v1_0,5.0,320000,1,472579977,331,192000,0,0,0,0,7,0,35.0,741,"(3, 3)",0.0,True,False,3,784,1587,1637,2,2.0,27544,296,6,464,137760,"(9, 10)","(9, 10)|(11, 5)|(15, 16)|(3, 3)|(16, 3)|(4, 15)",5902,227,0,"(3, 10)",137760,137940,519,True,182240,180,5,5,464,22260,"(5, 9)|(5, 8)|(14, 13)|(6, 8)|(14, 14)","(5, 9)|(14, 13)|(5, 8)|(6, 8)|(14, 14)","(5, 8):2|(5, 9):1|(6, 8):4|(14, 13):3|(14, 14):5","(5, 8):947|(5, 9):464|(6, 8):16633|(14, 13):1574|(14, 14):22260","(5, 8):1642|(5, 9):475|(6, 8):17155|(14, 13):1592|(14, 14):23229","(5, 8):1160|(5, 9):1330|(6, 8):1340|(14, 13):2684|(14, 14):3651","(5, 8):3|(5, 9):0|(6, 8):3|(14, 13):0|(14, 14):1",0
v1_0,5.0,320000,2,2140118107,331,192000,0,0,0,0,1,0,5.0,787,"(3, 3)",0.0,True,True,0,,,,0,0.0,30788,14704,6,476,56826,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(3, 3)|(15, 16)|(16, 3)",5695,150,0,"(4, 2)",56826,68739,771,True,263174,11913,5,5,476,19370,"(6, 8)|(5, 8)|(14, 14)|(5, 9)|(14, 13)","(6, 8)|(5, 8)|(5, 9)|(14, 13)|(14, 14)","(5, 8):2|(5, 9):4|(6, 8):1|(14, 13):5|(14, 14):3","(5, 8):738|(5, 9):2895|(6, 8):476|(14, 13):19370|(14, 14):971","(5, 8):906|(5, 9):3949|(6, 8):903|(14, 13):19434|(14, 14):19435","(5, 8):1043|(5, 9):1422|(6, 8):1095|(14, 13):479|(14, 14):1617","(5, 8):0|(5, 9):1|(6, 8):0|(14, 13):0|(14, 14):0",0
v1_0,5.0,320000,3,1759511476,331,192000,0,0,0,0,3,0,15.0,765,"(3, 3)",0.0,True,False,1,1245,,1245,0,0.0,34718,7768,6,362,5963,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(16, 3)|(11, 5)|(3, 3)",7670,22,0,"(2, 3)",29325,51792,1140,True,290675,22467,5,5,362,5103,"(6, 8)|(14, 13)|(5, 8)|(5, 9)|(14, 14)","(14, 13)|(14, 14)|(6, 8)|(5, 8)|(5, 9)","(5, 8):3|(5, 9):4|(6, 8):1|(14, 13):2|(14, 14):5","(5, 8):1300|(5, 9):4034|(6, 8):362|(14, 13):690|(14, 14):5103","(5, 8):29320|(5, 9):29325|(6, 8):29319|(14, 13):906|(14, 14):22033","(5, 8):1288|(5, 9):1288|(6, 8):1413|(14, 13):1121|(14, 14):890","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):3",0
